news_site_title	district
Homem mata ex-mulher num jardim em Alcáçovas, Évora	ÉVORA
Homem mata mãe à facada e entrega-se à polícia na Póvoa de Varzim	PORTO
Homem mata mãe à pancada em Palmela	SETÚBAL
Homem mata mãe de 92 anos à pancada	FARO
Homem mata mulher à facada devido a ruído num café	BRAGA
Homem mata mulher à facada em Esmoriz	AVEIRO
Homem mata mulher à pancada e entrega-se à GNR	LEIRIA
Homem mata mulher a tiro de caçadeira e suicida-se em frente à neta de quatro anos	ÉVORA
Homem mata mulher a tiro e suicida-se	VISEU
Homem mata mulher a tiro e suicida-se em Lamego	VISEU
Homem mata mulher a tiro em Braga e entrega-se às autoridades	BRAGA
Homem mata mulher a tiro em Ferreira do Alentejo	SETÚBAL
Homem mata mulher a tiro em Vila Nova de Famalicão e comete suicídio	BRAGA
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	SANTARÉM
Homem mata mulher a tiros de caçadeira e suicida-se	VIANA DO CASTELO
Homem mata mulher com arma branca nas Caldas da Rainha	LEIRIA
Homem mata mulher com faca e fere outra com gravidade	VILA REAL
Homem mata mulher com várias facadas em Braga e entrega-se à PSP	BRAGA
Homem mata mulher doente terminal em Matosinhos	PORTO
Homem mata mulher durante discussão e suicida-se em Lisboa	LISBOA
Homem mata mulher durante processo de divórcio	VISEU
Homem mata mulher e entrega-se à GNR	AVEIRO
Homem mata mulher e faz explodir o corpo	LISBOA
Homem mata mulher e fica ferido com gravidade	LEIRIA
Homem mata mulher e filha à facada em Braga	BRAGA
Homem mata mulher e filha em Coimbra	COIMBRA
Homem mata mulher e os três filhos em Copenhaga	SANTARÉM
Homem mata mulher e pede desculpa a senhorio	LISBOA
Homem mata mulher e suicida-se em aldeia perto de Évora	ÉVORA
Homem mata mulher e suicida-se em Armamar	COIMBRA
Homem mata mulher e suicida-se em Coimbra	SANTARÉM
Homem mata mulher e suicida-se em frente ao neto de quatro anos	ÉVORA
Homem mata mulher e suicida-se em Penafiel	PORTO
Homem mata mulher e suicida-se em Salvaterra de Magos	SANTARÉM
Homem mata mulher e suicida-se. Já são 20 as vítimas mortais de violência doméstica em 2019	SANTARÉM
Homem mata mulher e tenta suicidar-se em Sever do Vouga	AVEIRO
Homem mata mulher em Évora	ÉVORA
Homem mata mulher em Setúbal e suicida-se	SETÚBAL
Homem mata mulher no emprego e suicida-se	SANTARÉM
Homem mata mulher por asfixia em Santarém	LEIRIA
Homem mata mulher por suspeita de traição	PORTO
Homem mata mulher, amiga desta e suicida-se	SETÚBAL
Homem mata mulher, avisa GNR e suicida-se em seguida	PORTO
Homem mata mulher, filha e neta em Beja	SETÚBAL
Homem matou a companheira no Porto	PORTO
Homem matou a mãe de 79 anos com sete facadas, na Póvoa de Varzim	PORTO
Homem matou a mulher a tiro em Loulé	FARO
Homem matou a mulher a tiro em Loulé após perseguição de carro	FARO
Homem matou a mulher e suicidou-se em Setúbal	SETÚBAL
Homem matou a mulher e uma amiga e suicidou-se em Palmela	SETÚBAL
Homem matou a tiro a mulher e tentou suicidar-se	BRAGA
Homem matou advogada da ex-mulher em Estremoz	ÉVORA
Homem matou mãe à pancada	SETÚBAL
Homem matou mãe, pai e avó e depois suicidou-se	LEIRIA
Homem matou mulher à catanada em Loures	LISBOA
Homem matou mulher a tiro em Braga	AVEIRO
Homem matou mulher durante a madrugada em Sintra	LISBOA
Homem matou mulher e tentou suicidar-se em Sever do Vouga	AVEIRO
Homem matou mulher, filha e neta já há uma semana	BEJA
Homem pegou fogo à casa, matou mulher e suicidou-se	LISBOA
Homem que matou a companheira diz que a julgava a fingir desmaio	PORTO
Homem que matou a ex-mulher com 19 facadas vê pena reduzida	LISBOA
Homem que matou a ex-mulher no Bombarral fica em prisão preventiva	LEIRIA
Homem que matou a ex-mulher por asfixia condenado no Porto a 16 anos de prisão	PORTO
Homem que matou a mãe em Loulé condenado a 16 anos de prisão	FARO
Homem que matou a mãe tenta suicidar-se	COIMBRA
Homem que matou a mulher condenado a 20 anos de prisão	GUARDA
Homem que matou a mulher em Esmoriz fica em prisão preventiva	AVEIRO
Homem que matou companheira em Cascais foi detido de madrugada	LISBOA
Homem que matou companheira em Porto de Mós condenado a 22 anos de prisão	LEIRIA
Homem que matou ex-companheira na Golegã confessou o crime em tribunal	SANTARÉM
Homem que matou ex-companheira, ex-sogros e ex-enteado conhece hoje a sentença	PORTO
Homem que matou ex-companheira, ex-sogros e ex-enteado disse não entender o que fez	PORTO
Homem que matou ex-mulher em 2013 foi condenado a 21 anos de prisão	LISBOA
Homem que matou ex-namorada grávida em Sintra condenado a 21 anos de prisão	LISBOA
Homem que matou ex-namorada por asfixia e fugiu com dinheiro condenado a 16 anos de prisão	PORTO
Homem que matou mãe no Porto considerado inimputável e internado	PORTO
Homem que matou mulher à facada num jardim fica em prisão preventiva	ÉVORA
Homem que matou mulher com tijolo fica em prisão preventiva	LEIRIA
Homem que matou mulher detido em casa de familiares	GUARDA
Homem que matou mulher e filha condenado a 25 anos de prisão	COIMBRA
Homem que matou mulher e filha em Soure condenado a 25 anos de prisão	COIMBRA
Homem que matou mulher em Boticas foi detido	GUARDA
Homem que matou mulher em Braga fica em prisão preventiva	BRAGA
Homem que matou mulher em jardim público condenado a 23 anos de prisão	ÉVORA
Homem que matou mulher em Sever do Vouga considerado inimputável	AVEIRO
Homem que matou mulher era filho de milionário da Conforlimpa	SANTARÉM
Homem que matou mulher grávida tentou suicidar-se de novo	SETÚBAL
Homem que matou mulher num jardim condenado a 23 anos de prisão	ÉVORA
Homem que matou namorada a murro e pontapé condenado à pena máxima em Évora	ÉVORA
Homem que matou namorada e escondeu o corpo condenado a 22 anos de prisão	BRAGA
Homem que matou sogra diz que a confundiu com amante da ex-mulher	BRAGA
Homem tranquilo, de classe média, matou mulher e filha depois de passeio noturno	COIMBRA
Idosa assassinada em aldeia de Bragança	BRAGANÇA
Idosa terá sido assassinada em sua casa no Porto	PORTO
Idoso assassina mulher e vai para a cadeia	PORTO
Idoso mata a mulher e suicida-se em seguida	LISBOA
Idoso mata mulher e suicida-se em Sever do Vouga	AVEIRO
Idoso que matou a mulher com uma pá vai ser internado	PORTO
Idoso que matou mulher à machadada condenado a 21 anos	VISEU
Idoso que matou mulher e cunhada no Alandroal morre no hospital	ÉVORA
Incêndio mata mulher em Vila do Conde	PORTO
Inglês que matou mãe em Lagoa já tinha atacado homem	FARO
Internamento compulsivo para homem que matou a mãe	PORTO
Jovem confessa que matou mãe com ácido	LEIRIA
Jovem mata filhas bebés e mulher e mantém corpos em casa durante seis dias	SANTARÉM
Judiciária prende homem que matou companheiro à facada	BRAGA
