	Distrito	crimes
0	AVEIRO	25
1	BEJA	4
2	BRAGA	33
3	BRAGANÇA	6
4	COIMBRA	21
5	FARO	13
6	GUARDA	3
7	LEIRIA	25
8	LISBOA	50
9	PORTO	42
10	SANTARÉM	35
11	SETÚBAL	36
12	VIANA DO CASTELO	5
13	VILA REAL	5
14	VISEU	17
15	ÉVORA	19
16	CASTELO BRANCO	0
17	PORTALEGRE	0
