news_site_title	dateyear	district
Homem mata duas mulheres e suicida-se no Alandroal	2019	Évora
Homem mata ex-companheira por ciúme após três anos de terror	2019	Lisboa
Homem mata ex-mulher e fere familiares à facada	2012	Lisboa
Homem mata ex-mulher e um militar da GNR a tiro	2013	Coimbra
Homem mata ex-mulher grávida de sete meses	2012	Lisboa
Homem mata ex-mulher num jardim em Alcáçovas, Évora	2017	Évora
Homem mata mãe à facada e entrega-se à polícia na Póvoa de Varzim	2019	Porto
Homem mata mãe à pancada em Palmela	2018	Setúbal
Homem mata mãe de 92 anos à pancada	2017	Faro
Homem mata mulher à facada devido a ruído num café	2019	Braga
Homem mata mulher à facada em Esmoriz	2017	Aveiro
Homem mata mulher à pancada e entrega-se à GNR	2018	Leiria
Homem mata mulher a tiro de caçadeira e suicida-se em frente à neta de quatro anos	2013	Évora
Homem mata mulher a tiro e suicida-se	2016	Viseu
Homem mata mulher a tiro e suicida-se em Lamego	2015	Viseu
Homem mata mulher a tiro em Braga e entrega-se às autoridades	2019	Braga
Homem mata mulher a tiro em Ferreira do Alentejo	2019	Setúbal
Homem mata mulher a tiro em Vila Nova de Famalicão e comete suicídio	2019	Braga
Homem mata mulher a tiro no local de trabalho e a seguir suicida-se	2017	Santarém
Homem mata mulher a tiros de caçadeira e suicida-se	2018	Viana do castelo
Homem mata mulher com arma branca nas Caldas da Rainha	2017	Leiria
Homem mata mulher com faca e fere outra com gravidade	2015	Vila real
Homem mata mulher com várias facadas em Braga e entrega-se à PSP	2019	Braga
Homem mata mulher doente terminal em Matosinhos	2015	Porto
Homem mata mulher durante discussão e suicida-se em Lisboa	2017	Lisboa
Homem mata mulher durante processo de divórcio	2015	Viseu
Homem mata mulher e entrega-se à GNR	2015	Aveiro
Homem mata mulher e faz explodir o corpo	2017	Lisboa
Homem mata mulher e fica ferido com gravidade	2017	Leiria
Homem mata mulher e filha à facada em Braga	2010	Braga
Homem mata mulher e filha em Coimbra	2016	Coimbra
Homem mata mulher e os três filhos em Copenhaga	2017	Santarém
Homem mata mulher e pede desculpa a senhorio	2018	Lisboa
Homem mata mulher e suicida-se em aldeia perto de Évora	2013	Évora
Homem mata mulher e suicida-se em Armamar	2016	Coimbra
Homem mata mulher e suicida-se em Coimbra	2015	Santarém
Homem mata mulher e suicida-se em frente ao neto de quatro anos	2013	Évora
Homem mata mulher e suicida-se em Penafiel	2017	Porto
Homem mata mulher e suicida-se em Salvaterra de Magos	2017	Santarém
Homem mata mulher e suicida-se. Já são 20 as vítimas mortais de violência doméstica em 2019	2019	Santarém
Homem mata mulher e tenta suicidar-se em Sever do Vouga	2018	Aveiro
Homem mata mulher em Évora	2018	Évora
Homem mata mulher em Setúbal e suicida-se	2019	Setúbal
Homem mata mulher no emprego e suicida-se	2017	Santarém
Homem mata mulher por asfixia em Santarém	2017	Leiria
Homem mata mulher por suspeita de traição	2018	Porto
Homem mata mulher, amiga desta e suicida-se	2015	Setúbal
Homem mata mulher, avisa GNR e suicida-se em seguida	2017	Porto
Homem mata mulher, filha e neta em Beja	2012	Setúbal
Homem matou a companheira no Porto	2018	Porto
Homem matou a mãe de 79 anos com sete facadas, na Póvoa de Varzim	2019	Porto
Homem matou a mulher a tiro em Loulé	2016	Faro
Homem matou a mulher a tiro em Loulé após perseguição de carro	2013	Faro
Homem matou a mulher e suicidou-se em Setúbal	2019	Setúbal
Homem matou a mulher e uma amiga e suicidou-se em Palmela	2013	Setúbal
Homem matou a tiro a mulher e tentou suicidar-se	2017	Braga
Homem matou advogada da ex-mulher em Estremoz	2014	Évora
Homem matou mãe à pancada	2018	Setúbal
Homem matou mãe, pai e avó e depois suicidou-se	2016	Leiria
Homem matou mulher à catanada em Loures	2013	Lisboa
Homem matou mulher a tiro em Braga	2019	Aveiro
Homem matou mulher durante a madrugada em Sintra	2018	Lisboa
Homem matou mulher e tentou suicidar-se em Sever do Vouga	2018	Aveiro
Homem matou mulher, filha e neta já há uma semana	2012	Beja
Homem pegou fogo à casa, matou mulher e suicidou-se	2012	Lisboa
Homem que matou a companheira diz que a julgava a fingir desmaio	2019	Porto
Homem que matou a ex-mulher com 19 facadas vê pena reduzida	2017	Lisboa
Homem que matou a ex-mulher no Bombarral fica em prisão preventiva	2016	Leiria
Homem que matou a ex-mulher por asfixia condenado no Porto a 16 anos de prisão	2018	Porto
Homem que matou a mãe em Loulé condenado a 16 anos de prisão	2018	Faro
Homem que matou a mãe tenta suicidar-se	2011	Coimbra
Homem que matou a mulher condenado a 20 anos de prisão	2018	Guarda
Homem que matou a mulher em Esmoriz fica em prisão preventiva	2017	Aveiro
Homem que matou companheira em Cascais foi detido de madrugada	2019	Lisboa
Homem que matou companheira em Porto de Mós condenado a 22 anos de prisão	2019	Leiria
Homem que matou ex-companheira na Golegã confessou o crime em tribunal	2019	Santarém
Homem que matou ex-companheira, ex-sogros e ex-enteado conhece hoje a sentença	2017	Porto
Homem que matou ex-companheira, ex-sogros e ex-enteado disse não entender o que fez	2016	Porto
Homem que matou ex-mulher em 2013 foi condenado a 21 anos de prisão	2016	Lisboa
Homem que matou ex-namorada grávida em Sintra condenado a 21 anos de prisão	2017	Lisboa
Homem que matou ex-namorada por asfixia e fugiu com dinheiro condenado a 16 anos de prisão	2018	Porto
Homem que matou mãe no Porto considerado inimputável e internado	2017	Porto
Homem que matou mulher à facada num jardim fica em prisão preventiva	2017	Évora
Homem que matou mulher com tijolo fica em prisão preventiva	2019	Leiria
Homem que matou mulher detido em casa de familiares	2012	Guarda
Homem que matou mulher e filha condenado a 25 anos de prisão	2016	Coimbra
Homem que matou mulher e filha em Soure condenado a 25 anos de prisão	2016	Coimbra
Homem que matou mulher em Boticas foi detido	2012	Guarda
Homem que matou mulher em Braga fica em prisão preventiva	2019	Braga
Homem que matou mulher em jardim público condenado a 23 anos de prisão	2018	Évora
Homem que matou mulher em Sever do Vouga considerado inimputável	2019	Aveiro
Homem que matou mulher era filho de milionário da Conforlimpa	2017	Santarém
Homem que matou mulher grávida tentou suicidar-se de novo	2012	Setúbal
Homem que matou mulher num jardim condenado a 23 anos de prisão	2018	Évora
Homem que matou namorada a murro e pontapé condenado à pena máxima em Évora	2015	Évora
Homem que matou namorada e escondeu o corpo condenado a 22 anos de prisão	2016	Braga
Homem que matou sogra diz que a confundiu com amante da ex-mulher	2017	Braga
Homem tranquilo, de classe média, matou mulher e filha depois de passeio noturno	2014	Coimbra
Idosa assassinada em aldeia de Bragança	2012	Bragança
Idosa terá sido assassinada em sua casa no Porto	2016	Porto
Idoso assassina mulher e vai para a cadeia	2019	Porto
Idoso mata a mulher e suicida-se em seguida	2011	Lisboa
Idoso mata mulher e suicida-se em Sever do Vouga	2015	Aveiro
Idoso que matou a mulher com uma pá vai ser internado	2012	Porto
Idoso que matou mulher à machadada condenado a 21 anos	2016	Viseu
Idoso que matou mulher e cunhada no Alandroal morre no hospital	2019	Évora
Incêndio mata mulher em Vila do Conde	2017	Porto
Inglês que matou mãe em Lagoa já tinha atacado homem	2018	Faro
Internamento compulsivo para homem que matou a mãe	2017	Porto
Jovem confessa que matou mãe com ácido	2016	Leiria
Jovem mata filhas bebés e mulher e mantém corpos em casa durante seis dias	2019	Santarém
Judiciária prende homem que matou companheiro à facada	2013	Braga
Judiciária sem pistas de mulher assassinada em Leça da Palmeira	2019	Porto
Julgamento de homem que matou sogra arranca no dia 16	2017	Braga
Justiça falha proteção a mulher assassinada	2018	Leiria
Lentidão e burocracia. Ministério Público falhou e mulher foi assassinada	2018	Lisboa
Loulé: Homem mata a mulher e suicida-se de seguida	2013	Faro
Mais uma mulher assassinada depois de anos de violência doméstica em Lisboa	2019	Lisboa
Marido assassina mulher a tiro em Sacavém e lança-lhe granada de seguida	2016	Viseu
Marido assassina mulher com caçadeira em Ourém	2016	Santarém
Marido mata a mulher a tiro e está em fuga na Figueira da Foz	2018	Coimbra
Marido mata a mulher em Vieira do Minho e entrega-se às autoridades	2019	Braga
Marido mata mulher e suicida-se na véspera de férias no Algarve	2018	Faro
Marido que assassinou mulher na rua Augusta julgado em Janeiro	2016	Lisboa
Mata a mãe por trocar versos do pai-nosso	2019	Setúbal
Mata a mulher a tiro por ciúmes	2016	Bragança
Mata amiga da mulher durante uma discussão	2018	Porto
Mata companheira antes de ser internado	2017	Santarém
Mata ex-sogra à “cacetadinha”	2017	Braga
Mata mãe à pancada no Natal e desaparece	2018	Lisboa
Mata mãe e fica 15 dias junto do corpo	2018	Lisboa
Mata mãe por impedi-lo de se juntar ao Daesh	2016	Santarém
Mata mulher à facada em jardim público	2017	Évora
Mata mulher à frente da filha e assassina GNR	2012	Coimbra
Mata mulher à machadada	2016	Santarém
Mata mulher após seis meses de perseguição	2017	Braga
Mata mulher com 20 facadas após a encontrar no carro com amante	2019	Viseu
Mata mulher e barrica-se em apartamento	2016	Santarém
Mata mulher em França e conduz até Sacavém	2019	Santarém
Mata mulher no trabalho e suicida-se	2017	Santarém
Mata mulher por acidente em discussão e suicida-se	2017	Santarém
Mata namorada e esconde corpo durante 24 horas	2018	Santarém
Matou a mãe a tiro de caçadeira	2015	Faro
Matou a mãe após discussão	2016	Porto
Matou a mãe e chamou a polícia	2012	Lisboa
Matou a mulher à facada e agora não se lembra	2013	Faro
Matou a mulher com líquido tóxico	2016	Porto
Matou a mulher grávida de quatro meses e quis suicidar-se	2012	Setúbal
Matou a mulher, deixou carta escrita à filha e foi condenado a internamento	2019	Aveiro
Matou a namorada e escondeu o corpo numa mata	2015	Viana do castelo
Matou a sogra porque a confundiu com amante da ex-companheira	2017	Braga
Matou e enterrou a ex-namorada	2016	Lisboa
Matou mulher e tentou suicidar-se de seguida. Está em coma	2018	Aveiro
Matou mulher na noite de Sto António e inventou doença	2015	Santarém
Matou mulher, desapareceu sem deixar rasto e família já o tenta encontrar pelo Facebook	2016	Santarém
Matou namorada a quem devia dinheiro	2012	Lisboa
Matou namorada a tiro quando ela o quis deixar	2015	Lisboa
Meio dia em 60 segundos: Mata filha e suicida-se após matar sogra no Seixal	2019	Setúbal
Micaela: como o meu pai matou a minha mãe	2019	Porto
Milionária brasileira assassinada pelo marido no Estoril	2015	Lisboa
Morreu homem que matou mulher em Famalicão	2017	Braga
Morreu homem que matou mulher em Matosinhos	2015	Porto
Morreu o idoso que assassinou duas mulheres no Alandroal	2019	Setúbal
Mulher assassinada à facada na Baixa da Banheira	2014	Setúbal
Mulher assassinada à facada na Costa da Caparica	2014	Setúbal
Mulher assassinada a tiro num parque de estacionamento de uma discoteca na Golegâ	2019	Santarém
Mulher assassinada com martelo em Viseu	2019	Viseu
Mulher assassinada domingo à noite numa rua da Golegã	2019	Santarém
Mulher assassinada e homem ferido à facada em Carrazeda de Ansiães	2019	Bragança
Mulher assassinada em Corroios. Ex-companheiro é o principal suspeito do crime	2019	Setúbal
Mulher assassinada em Sernancelhe	2012	Lisboa
Mulher assassinada em Setúbal	2015	Setúbal
Mulher assassinada em Vila Real de Santo António	2019	Faro
Mulher assassinada hoje tinha 44 anos e dois filhos. É a 30.ª vítima de violência doméstica	2019	Vila real
Mulher assassinada na estação da Amadora	2010	Lisboa
Mulher assassinada na Golegã foi morta por ex-companheiro	2019	Santarém
Mulher assassinada num prédio no centro de Guimarães	2016	Porto
Mulher assassinada pelo ex-companheiro no Bombarral	2016	Leiria
Mulher assassinada pelo marido em plena via pública	2016	Setúbal
Mulher assassinada pelo marido em Ponte de Lima	2017	Viana do castelo
Mulher assassinada pelo marido em Setúbal	2016	Setúbal
Mulher assassinada pelo marido em Vieira do Minho	2019	Braga
Mulher assassinada pelo marido na rua	2016	Setúbal
Mulher assassinada por terminar relação	2016	Porto
Mulher de 37 anos assassinada em Vila Real de Santo António	2019	Beja
Mulher de 48 anos assassinada pelo marido na Figueira da Foz	2018	Coimbra
Mulher faz compras em nome da tia que assassinou	2018	Viana do castelo
Mulher que esfaqueou e matou a tia condenada a 12 anos de prisão	2016	Aveiro
Mulher que matou marido condenada a 20 anos de cadeia	2001	Braga
Mulheres assassinadas recordadas numa concentração e vigília	2014	Lisboa
Órfãos de mulher assassinada na Suíça vêm para Portugal	2014	Santarém
Pai do homem que matou a sogra e filha paga funeral em Castanheira	2019	Santarém
Pedreiro mata mulher à pancada em Sintra	2018	Lisboa
Peluches e flores na homenagem à avó e neta assassinadas no Seixal	2019	Setúbal
Pena de 21 anos de prisão para homem que matou ex-namorada e escondeu o corpo	2014	Braga
Pena de 23 anos de prisão para homem que matou ex companheira em Leiria	2015	Leiria
Pena de 23 anos de prisão para homem que matou ex-companheira	2016	Leiria
Pena de prisão reduzida de 21 para 12 anos a jovem que matou namorada	2016	Braga
Pena máxima para homem que mandou matar a mulher a assassinou o homicida contratado	2010	Santarém
Pena máxima para homem que matou a namorada a murro e pontapé	2015	Évora
Pena máxima para homem que matou namorada a murro e pontapé	2015	Évora
Pena máxima para homem que matou namorada ao murro e ao pontapé em Évora	2016	Évora
PJ detém filho adoptivo da médica que foi assassinada em Coimbra	2010	Coimbra
PJ está a investigar homem que matou mãe à facada na Póvoa de Varzim	2019	Porto
PJ investiga caso de homem que matou mulher e suicidou-se	2019	Braga
PJ suspeita que homem matou mulher e suicidou-se em Lisboa	2017	Lisboa
Polícia cerca casa de homem que disparou sobre quatro mulheres e matou duas	2015	Viseu
Preventiva para homem que matou a mulher com três tiros de caçadeira	2019	Braga
Preventiva para homem que matou ex-mulher à facada	2015	Leiria
Preventiva para homem que matou mulher em jardim público	2017	Évora
Preventiva para mulher que matou a tiro ex-companheira	2012	Setúbal
Prisão preventiva para filho que matou a mãe em Ribeira de Pena	2018	Vila real
Prisão preventiva para filho que matou a mãe em Viseu	2018	Viseu
Prisão preventiva para homem que matou a mulher	2012	Lisboa
Prisão preventiva para homem que matou ex-namorada em Vila Real de Santo António	2019	Faro
Prisão preventiva para homem que matou mãe com martelo em Viseu	2019	Viseu
Prisão preventiva para homem que matou mulher e escondeu corpo num pinhal	2018	Leiria
Prisão preventiva para homem que matou mulher e filha	2014	Coimbra
Prisão preventiva para homem que matou mulher no Bombarral e escondeu corpo	2018	Leiria
Prisão preventiva para homem que matou mulher num jardim em Alcáçovas	2017	Évora
PSP detém seis homens por violência doméstica. Um matou companheira	2019	Lisboa
PSP que matou a mulher ficou em prisão preventiva	2011	Setúbal
PSP que matou a mulher já está a ser interrogado	2011	Setúbal
Queixa na GNR não a protegeu de ser assassinada pelo marido	2015	Porto
Quem era Pedro Henriques, o homem que matou a ex-sogra e a filha de dois anos?	2019	Leiria
Reformado das Finanças matou a mãe à pancada	2019	Faro
Reformado matou mãe de 94 anos e simulou queda da cama	2018	Aveiro
Relação baixa para 12 anos pena de jovem que matou ex-namorada	2017	Aveiro
Relação confirma 21 anos de cadeia para homem que matou a mulher com três tiros	2011	Leiria
Rosalina Ribeiro não fez grandes alterações ao testamento três meses antes de ser assassinada no Rio de Janeiro	2010	Lisboa
Sai da cadeia e mata a mulher com tiro na cabeça	2012	Leiria
Salvaterra de Magos. Homem matou a mulher no trabalho e suicidou-se	2017	Santarém
Secretária de Tomé Feteira assassinada no Brasil estava falida e alterou testamento	2010	Setúbal
Seis das 22 mulheres assassinadas este ano foram mortas pelos filhos ou netos	2018	Leiria
Septuagenário que matou mulher com pá foi condenado a internamento	2016	Braga
Septuagenário que matou mulher com uma pá conhece hoje a sentença	2012	Vila real
Sobrinho de idosa assassinada absolvido	2018	Braga
Sogra assassinada no Seixal contava nas redes sociais a cumplicidade que a unia à filha	2019	Setúbal
Stripper matou mulher por causa dos ciúmes	2012	Lisboa
Stripper que matou namorada grávida já tinha morto no Brasil	2012	Santarém
Supremo Tribunal confirma 20 anos de cadeia para professor de Fafe que matou namorada	2011	Coimbra
Taxista que matou uma mulher condenado a 16 anos de prisão	2017	Viseu
Telemóvel trama homem que matou ex-companheira no Algarve	2019	Beja
Todos os passos do homem que matou a sogra e a filha no Seixal	2019	Lisboa
Tribunal condena a 19 anos de prisão homem que matou mulher na Marinha Grande	2015	Leiria
Tribunal confirma 13 anos de prisão para homem que matou ex-namorada em Guimarães	2019	Aveiro
Tribunal confirma 21 anos de prisão para jovem que matou ex-namorada em Braga	2015	Braga
Tribunal de Aveiro condenou a 23 anos de prisão homem que matou mulher à paulada	2013	Aveiro
